DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.32,35.88,0.368,0.367,1.46,30.59,46.29,0.88,0.484
0.01,99.4,0.934,0.934,10.02,95.81,98.39,0.97,0.74
0.15,90.91,0.801,0.801,7.34,86.36,94.79,0.96,0.655
0.04,98.2,0.943,0.946,8.25,95.5,97.67,0.96,0.696
0.38,73.05,0.718,0.753,6.57,68.86,88.66,0.89,0.654
0.08,85.65,0.883,0.892,12.6,72.83,97.38,0.94,0.668
0.6,60.48,0.617,0.616,4.88,57.49,82.81,0.77,0.581
0.05,98.2,0.908,0.912,8.25,95.5,96.25,0.95,0.643
0.04,75.0,0.576,0.578,2.37,60.0,87.5,0.93,0.551
0.03,98.33,0.771,0.771,5.93,90.0,93.93,0.94,0.491
0.34,44.71,0.418,0.438,3.2,38.82,54.62,0.91,0.525
0.04,98.2,0.942,0.946,8.25,95.5,97.78,0.96,0.732
0.17,72.73,0.639,0.634,5.38,68.18,79.52,0.93,0.538
0.32,77.25,0.788,0.802,7.61,76.05,93.43,0.92,0.688
0.35,71.26,0.65,0.727,6.73,59.28,82.91,0.87,0.53
0.05,96.83,0.97,0.97,10.91,95.93,98.98,0.97,0.777
0.02,92.81,0.897,0.895,9.3,91.62,98.17,0.96,0.721
0.1,90.0,0.816,0.817,7.45,87.27,92.17,0.95,0.614
0.48,70.94,0.656,0.662,5.04,59.83,69.0,0.84,0.377
0.01,98.8,0.949,0.949,10.1,97.6,98.61,0.98,0.741
0.03,90.0,0.692,0.698,5.59,80.0,87.55,0.95,0.448
0.14,73.64,0.654,0.646,5.27,70.91,80.38,0.94,0.561
0.34,73.05,0.72,0.732,6.57,70.06,89.01,0.89,0.665
0.2,75.45,0.687,0.683,5.49,72.73,80.85,0.91,0.553
0.42,36.47,0.361,0.357,1.38,27.65,47.42,0.91,0.5
0.09,59.41,0.611,0.663,5.66,57.65,82.8,0.97,0.601
1.54,27.35,0.245,0.287,-0.8,2.56,37.42,0.53,0.09
0.2,50.0,0.451,0.454,2.0,29.09,58.78,0.9,0.422
0.04,98.2,0.95,0.952,8.25,95.5,98.06,0.97,0.679
0.07,89.57,0.911,0.917,13.71,76.09,97.62,0.95,0.68
0.18,85.97,0.837,0.852,9.66,78.28,91.83,0.9,0.493
0.1,77.25,0.732,0.763,7.13,70.66,93.06,0.91,0.628
0.07,90.91,0.864,0.863,7.34,89.09,94.41,0.97,0.65
0.02,95.81,0.931,0.931,9.78,93.41,98.56,0.97,0.761
0.34,10.91,0.289,0.355,0.7,0.91,41.03,0.75,0.423
0.04,75.0,0.57,0.578,3.04,60.0,87.18,0.93,0.541
0.04,98.2,0.936,0.939,8.25,95.5,97.42,0.96,0.689
1.24,33.53,0.325,0.325,0.75,15.88,40.83,0.87,0.361
0.09,73.33,0.564,0.564,3.21,60.0,58.37,0.87,0.414
0.15,70.91,0.627,0.62,5.16,65.45,76.82,0.93,0.536
0.09,98.29,0.849,0.849,8.47,88.89,90.88,0.94,0.51
0.08,84.35,0.885,0.895,12.83,74.57,98.75,0.94,0.689
0.73,67.52,0.525,0.539,3.47,29.06,57.95,0.83,0.214
0.06,96.41,0.895,0.896,9.86,90.42,95.11,0.96,0.658
0.02,100.0,0.875,0.875,6.1,98.33,97.05,0.97,0.54
0.16,96.58,0.832,0.841,8.26,84.62,89.99,0.93,0.554
0.03,98.2,0.943,0.946,8.25,95.5,97.8,0.96,0.691
0.55,41.76,0.402,0.396,2.33,38.24,52.16,0.88,0.486
1.78,28.82,0.286,0.284,0.19,21.18,26.9,0.79,0.374
0.05,97.6,0.912,0.912,9.86,92.22,95.59,0.96,0.668
0.09,59.41,0.611,0.663,5.58,57.65,82.83,0.97,0.605
0.17,91.45,0.793,0.805,8.16,72.65,86.65,0.92,0.529
0.29,82.91,0.704,0.719,6.39,64.96,76.91,0.87,0.4
0.16,84.78,0.87,0.88,12.06,69.78,83.86,0.92,0.581
0.05,96.83,0.974,0.974,10.91,95.93,98.95,0.97,0.772
0.17,91.45,0.791,0.803,8.16,72.65,86.54,0.92,0.537
0.03,98.2,0.943,0.946,8.25,95.5,97.79,0.96,0.706
0.04,98.2,0.942,0.945,8.25,95.5,97.74,0.96,0.726
1.35,40.59,0.394,0.393,2.25,37.65,38.89,0.85,0.499
0.34,51.82,0.472,0.472,2.66,42.73,57.81,0.88,0.503
0.31,60.43,0.656,0.649,9.0,49.13,84.85,0.73,0.646
0.04,75.0,0.559,0.564,2.54,61.67,86.79,0.93,0.55
0.05,97.29,0.97,0.97,10.91,95.93,98.73,0.97,0.762
0.03,98.2,0.943,0.946,8.25,95.5,97.8,0.96,0.691
