GDT_TS,GDT_HA,GDC_SC,rmsd
9.54,6.82,2.28,62.16
82.75,67.96,41.85,1.97
95.05,82.66,59.17,1.35
78.59,60.27,39.35,3.11
75.0,60.0,32.23,2.77
91.44,77.03,53.89,1.71
59.55,43.86,27.02,10.64
78.42,60.22,40.01,3.21
78.33,60.0,32.05,2.34
57.35,52.94,30.04,14.79
92.36,80.99,61.32,1.34
70.3,50.0,22.81,3.0
84.01,64.42,31.28,1.75
55.27,43.05,24.53,8.66
37.79,27.64,15.71,37.62
82.27,65.17,40.12,2.11
90.12,77.39,56.27,1.43
93.47,80.86,57.6,1.33
64.08,49.3,24.93,7.07
90.65,81.78,64.3,9.78
82.64,65.12,50.66,1.81
69.87,48.72,20.36,3.01
81.69,66.19,33.64,2.04
48.33,32.5,17.73,10.31
35.44,26.62,16.39,38.12
78.42,60.47,36.63,2.36
84.58,71.67,44.32,1.62
74.51,55.81,38.13,3.13
35.0,25.45,11.1,13.89
91.0,84.34,65.94,9.72
77.5,58.75,31.33,1.92
84.16,69.72,42.26,1.96
95.05,83.56,61.53,1.34
89.09,77.5,62.61,4.88
75.11,55.88,39.34,4.21
76.25,58.33,27.42,2.54
42.35,30.14,14.11,24.78
95.59,87.44,71.66,1.25
97.01,89.1,64.82,1.34
91.22,76.13,53.91,1.61
73.24,54.23,29.44,3.57
44.12,32.8,20.84,44.2
76.85,57.77,42.83,2.8
42.35,31.91,17.61,32.65
34.27,24.27,9.96,45.38
78.44,58.68,35.65,5.28
72.53,53.52,31.61,3.75
72.08,56.66,28.48,3.22
79.7,63.67,41.44,2.17
90.89,84.23,65.43,9.7
20.0,14.54,7.13,22.8
96.38,91.4,77.09,1.22
85.56,70.07,44.71,1.91
96.58,87.18,62.97,1.32
90.77,82.71,62.41,9.68
89.6,81.54,62.51,9.7
75.23,55.38,41.11,9.85
55.22,43.2,25.45,16.41
83.75,66.67,34.66,1.75
61.83,51.2,37.59,16.08
65.49,52.47,27.01,7.08
39.71,30.15,18.53,43.9
96.27,91.63,77.22,1.29
39.85,30.0,17.88,37.77
93.92,80.86,54.2,1.37
81.34,67.25,38.89,2.05
74.18,55.02,27.34,7.97
92.29,84.0,66.26,9.71
30.29,21.62,9.86,36.84
90.65,84.23,64.8,9.71
79.27,63.03,40.34,2.12
93.69,80.86,60.99,1.37
90.72,76.05,58.35,1.54
96.38,91.52,76.72,1.21
35.29,26.91,18.96,40.24
76.28,57.71,41.92,9.76
76.85,57.94,38.36,3.28
92.12,76.58,57.02,1.55
78.63,63.03,39.2,2.63
27.73,19.77,7.37,16.85
90.07,79.67,51.43,9.77
28.97,20.44,12.91,36.99
91.77,75.9,59.84,1.23
90.19,79.67,49.99,9.73
79.46,59.78,29.05,2.91
42.73,29.77,13.31,13.4
61.11,39.1,21.62,3.2
40.88,31.62,20.14,37.61
75.0,60.0,32.23,2.77
91.02,78.14,58.8,1.42
79.04,60.63,45.58,2.06
81.69,65.84,32.73,2.59
54.77,41.14,26.48,10.66
10.91,6.14,2.45,36.09
95.25,88.12,71.18,1.3
95.02,87.44,70.67,1.39
67.39,45.81,31.93,2.99
49.43,44.12,65.25,1.04
79.92,64.53,43.29,2.52
78.59,61.63,40.28,3.11
95.05,83.33,62.22,1.39
73.24,54.58,26.63,3.3
63.64,47.27,27.9,9.16
77.15,57.81,32.69,3.26
93.24,79.73,56.96,1.53
80.83,67.92,35.38,2.27
28.09,20.3,10.17,44.33
94.37,82.66,60.29,1.3
34.77,24.32,13.01,13.37
89.67,73.95,56.75,1.43
18.37,9.95,4.39,15.09
55.73,46.91,28.72,9.21
97.62,92.76,80.04,0.89
83.1,68.66,41.97,1.87
79.27,62.18,39.92,2.06
83.23,65.42,49.31,1.83
70.83,51.66,23.6,3.46
87.72,70.95,56.23,1.44
94.37,81.08,61.43,1.41
83.45,67.25,34.93,1.9
95.93,90.84,76.19,1.29
95.02,86.08,70.16,1.3
80.34,65.17,41.19,2.59
95.93,87.89,69.32,1.2
80.63,64.79,36.28,2.49
82.08,66.67,30.72,2.23
66.2,52.47,27.48,7.09
29.12,20.14,12.84,36.94
63.18,48.86,32.54,10.3
66.9,53.52,31.17,7.1
90.89,84.58,66.17,9.69
46.18,35.0,22.21,20.7
92.17,86.45,69.11,9.67
31.36,24.32,12.01,16.95
91.02,74.85,59.84,1.23
78.2,62.82,35.62,2.81
90.57,75.75,58.1,1.56
91.89,77.93,54.33,1.63
77.99,58.55,35.9,2.55
96.15,91.86,76.93,1.28
78.97,61.47,42.12,2.93
76.25,57.92,31.1,2.4
96.27,91.63,77.22,1.29
30.44,23.97,14.95,39.23
93.47,80.63,56.54,1.35
70.36,54.34,26.98,14.22
58.82,47.28,23.38,10.48
84.51,67.95,44.14,1.94
74.13,54.45,38.73,2.76
49.09,33.41,16.46,10.91
83.41,72.73,48.7,5.81
92.81,80.09,62.17,1.28
30.29,21.62,9.86,36.84
72.08,54.58,21.02,3.67
55.0,34.17,13.86,4.36
80.98,65.81,39.62,2.19
58.33,40.84,10.04,5.26
94.74,87.15,69.73,1.27
63.33,48.33,26.4,9.42
76.25,61.25,31.4,2.72
76.92,56.84,32.57,2.54
30.99,23.94,8.83,13.54
75.92,56.58,40.57,3.0
96.27,90.84,75.89,1.27
95.3,84.4,61.91,1.44
42.21,32.21,18.67,39.34
96.49,91.86,76.18,1.25
72.5,56.67,21.17,3.67
72.08,56.66,28.48,3.22
82.39,66.55,35.48,2.54
92.57,77.48,56.07,1.54
34.85,28.97,18.09,21.59
77.99,60.16,38.78,3.22
55.56,34.83,13.21,4.36
38.82,32.06,17.82,37.84
95.59,89.25,72.16,1.37
82.64,64.37,50.47,1.8
90.77,83.41,64.89,9.71
31.32,22.35,14.37,42.8
39.71,30.15,18.53,43.9
74.78,56.3,36.92,3.37
42.79,32.5,19.9,36.58
31.32,22.35,14.37,42.8
79.02,62.61,40.03,3.33
75.6,60.78,50.15,14.2
46.82,32.5,15.92,13.15
14.22,10.18,2.05,19.28
89.49,80.84,62.67,9.85
95.93,89.14,72.88,1.4
58.23,53.53,34.23,13.94
20.81,13.32,4.96,20.23
90.54,84.7,65.71,9.78
70.45,55.23,35.36,8.33
27.5,20.59,11.4,41.13
96.49,91.97,73.7,1.25
84.16,69.23,46.68,3.52
92.12,77.7,53.46,1.51
58.09,53.38,33.02,13.97
52.27,37.73,18.62,12.7
94.82,80.18,57.41,1.38
29.12,20.14,12.73,36.94
91.0,83.18,66.9,9.68
90.12,76.2,60.22,1.45
78.15,60.87,37.04,3.34
90.3,82.59,63.88,9.8
82.04,66.9,34.37,2.6
90.77,83.76,65.84,9.68
79.06,63.03,41.7,2.59
40.38,22.99,11.16,15.97
38.82,29.12,17.53,41.55
94.59,81.08,53.54,1.38
77.25,64.97,51.91,12.83
73.37,54.13,38.79,2.96
42.06,24.73,11.99,15.62
42.06,24.73,11.99,15.62
95.3,84.4,61.91,1.44
93.69,80.18,56.69,1.46
44.72,27.82,4.28,6.54
46.82,32.5,15.92,13.15
95.59,84.96,71.68,1.31
80.77,64.1,40.46,2.18
52.5,37.05,16.08,7.55
83.45,69.01,43.37,1.83
79.06,62.82,41.24,2.54
78.85,63.89,37.34,2.69
85.56,70.07,43.31,1.91
58.53,37.57,29.65,5.02
95.47,88.69,71.71,1.32
79.49,64.53,37.84,2.7
10.91,6.14,2.45,36.09
80.63,64.79,34.87,2.46
95.08,80.77,60.13,1.38
89.97,75.9,58.84,1.43
31.36,24.32,12.01,16.95
70.83,54.59,26.02,3.32
26.76,17.61,4.13,14.64
52.92,41.25,24.81,9.11
94.59,79.51,59.23,1.51
77.84,64.52,48.79,14.24
46.82,32.5,15.92,13.15
94.91,87.33,71.33,1.38
91.0,82.94,65.62,9.71
90.65,83.53,67.58,9.68
74.24,56.03,39.29,3.51
90.89,84.0,65.95,9.68
61.67,47.5,24.13,9.61
89.95,78.39,58.93,9.79
30.68,20.23,6.55,17.08
94.59,82.88,62.47,1.3
78.86,60.59,44.53,2.67
95.27,83.11,59.79,1.41
87.42,73.35,52.67,2.08
90.77,83.29,66.59,9.71
42.65,32.5,20.14,36.2
81.22,67.42,36.45,4.37
36.03,25.0,12.79,26.33
88.18,81.59,45.8,6.96
88.41,82.27,53.12,6.85
96.38,90.61,72.73,1.16
48.64,36.82,25.25,12.59
83.08,65.87,48.27,1.78
93.11,80.69,62.57,1.23
65.49,50.35,26.39,7.01
10.11,6.3,1.75,26.49
27.06,19.85,10.81,37.0
80.98,65.81,39.62,2.19
34.41,25.59,12.32,37.7
28.97,20.44,12.91,36.99
57.93,46.71,32.64,14.99
82.08,66.67,30.72,2.23
94.82,83.56,60.31,1.33
97.22,91.03,66.33,1.38
95.02,81.22,66.82,1.25
95.05,83.56,61.53,1.34
89.84,81.42,61.94,9.77
78.64,61.96,39.29,3.21
90.0,76.67,39.77,1.3
47.5,35.0,19.84,10.24
46.82,32.5,15.92,13.15
95.59,88.8,71.93,1.35
49.77,33.18,15.52,9.06
30.29,21.62,9.86,36.84
68.31,51.41,30.29,6.43
33.18,22.73,6.01,15.52
67.77,45.49,33.48,3.4
60.68,50.91,29.93,14.71
83.8,69.36,40.79,1.97
57.05,43.18,25.64,11.28
94.28,86.92,66.62,1.34
94.82,84.91,63.91,1.39
90.42,82.71,66.35,9.73
93.67,87.67,66.28,2.13
38.06,19.37,2.48,8.47
24.65,15.49,6.13,16.3
95.72,86.04,63.0,1.39
71.58,51.74,29.6,3.09
42.35,30.14,14.11,24.78
40.91,27.95,15.66,18.5
85.29,74.09,56.37,10.71
95.95,87.16,62.44,1.34
79.56,62.17,41.19,2.99
77.77,59.62,37.92,3.28
83.1,68.66,41.97,1.87
77.23,60.65,40.4,3.56
57.69,36.75,17.63,3.9
75.57,57.92,41.64,6.77
85.63,69.98,51.58,9.79
93.92,81.31,56.21,1.36
95.27,85.81,61.43,1.23
59.17,43.75,20.15,7.76
90.77,75.0,51.51,2.25
76.95,65.27,49.34,10.73
84.51,70.42,41.91,1.96
22.22,14.74,1.15,15.27
96.37,86.11,62.95,1.28
67.41,59.34,44.07,12.5
78.97,61.47,42.12,2.93
80.0,62.08,24.85,2.21
88.86,82.73,42.96,6.75
40.15,31.32,20.29,39.48
32.75,21.83,4.49,14.5
95.05,83.11,58.82,1.39
95.02,86.08,70.16,1.3
70.42,49.58,31.63,2.64
53.86,41.14,26.34,11.01
90.89,84.0,65.83,9.71
80.16,62.82,41.93,2.9
60.0,45.23,28.93,10.05
90.3,78.97,63.22,9.82
90.54,82.48,65.82,9.71
14.95,9.81,3.93,17.76
41.18,32.2,21.37,39.09
96.49,92.2,77.73,1.23
89.82,73.05,58.72,1.64
64.58,45.84,17.16,3.97
82.39,66.55,40.32,1.87
73.95,59.13,40.61,9.22
83.53,66.02,50.09,1.73
91.03,76.71,55.27,1.56
81.2,65.6,40.61,2.16
70.42,53.34,25.42,3.29
90.72,76.05,58.35,1.54
90.19,79.2,39.77,9.74
57.93,45.21,20.95,16.75
77.77,59.78,36.15,3.34
73.2,62.58,46.9,11.81
24.85,17.8,9.46,42.25
79.7,64.96,39.45,2.67
65.57,57.94,42.74,16.47
52.88,33.91,19.73,6.12
66.25,47.91,18.07,4.23
64.44,48.24,18.8,5.23
74.32,56.67,29.75,4.41
28.53,20.15,8.43,40.01
93.47,78.38,57.27,1.57
95.93,84.84,70.41,1.13
31.03,22.35,9.06,36.83
72.31,61.83,44.99,11.73
85.16,69.74,51.19,9.61
94.82,83.56,60.31,1.33
90.99,75.9,54.37,1.67
79.04,59.28,34.79,5.3
77.72,59.19,39.69,3.2
93.16,77.35,61.11,1.36
68.56,50.45,33.74,9.81
88.9,77.92,62.4,9.74
61.33,42.73,24.46,4.78
95.05,84.69,60.46,1.33
55.0,40.91,20.77,10.42
96.27,91.97,77.47,1.27
78.75,65.0,30.72,2.78
82.04,67.25,35.45,2.51
